collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,nug14,tos,1,1,1054.0,0.0,1014,0.03944773175542406,1014.8704730857447,4.544668656562552,5.0990195135927845,1.8837481245015721,0.17484617233276367,0.0,2764.0,2764.0,2764.0,False,2.2749330352631225e-05
qaplib,tai40b,sfw,1,1,1000820026.0,0.0,637250948,0.570527323876182,991054543.0126,8.191613373320147,8.94427190999916,1.8885690752928173,0.0013535022735595703,0.0,5.0,5.0,5.0,False,0.0
qaplib,tai40b,tos,1,1,912927927.0,0.0,637250948,0.4326034819802261,887145665.0626025,6.429103459584445,8.831760866327848,5.971755556821485,10.341980934143066,0.0,100000.0,100000.0,100000.0,True,0.0022850668014000684
qaplib,tai50a,sfw,1,1,5075312.0,0.0,4938796,0.027641554743301808,5062305.251638183,9.096773173112135,9.486832980505138,1.6372488274449644,0.07012367248535156,0.0,166.0,166.0,166.0,False,0.0
qaplib,tai50a,tos,1,1,5082902.0,0.0,4938796,0.029178366549256134,5056738.430653996,9.203661974500184,9.899494936611665,2.8031621123575325,1.1694433689117432,0.0,9263.0,9263.0,9263.0,False,1.9173013031742197e-05
qaplib,chr12c,sfw,1,1,12176.0,0.0,11156,0.0914306202940122,9220.765502300099,4.537750371673486,4.898979485566356,1.5850674473199027,0.2933366298675537,0.0,3310.0,3310.0,3310.0,False,0.0
qaplib,chr12c,tos,1,1,13072.0,0.0,11156,0.17174614557188955,9736.899585917161,4.042894240599524,4.47213595499958,1.7278202686474982,0.07013893127441406,0.0,1250.0,1250.0,1250.0,False,3.565605862715217e-05
qaplib,esc16c,sfw,1,1,164.0,0.0,160,0.025,145.46163673147734,4.803562941378999,5.656854249492381,2.317999679899611,0.12768912315368652,0.0,1267.0,1267.0,1267.0,False,0.0
qaplib,esc16c,tos,1,1,162.0,0.0,160,0.0125,145.07057634700126,5.0106312100512405,5.656854249492381,2.3447530609645217,0.17413687705993652,0.0,3000.0,3000.0,3000.0,False,6.198376714883603e-05
qaplib,nug22,sfw,1,1,3712.0,0.0,3596,0.03225806451612903,3676.068121691762,5.267840361751136,5.656854249492381,2.12075956218125,0.03458452224731445,0.0,243.0,243.0,243.0,False,0.0
